Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier Code,Origin Code,Dest Code,Distance,dep_dela1ed_15mi0
5,23,1,1540,15,59,72,419,0
11,26,7,646,16,205,106,157,0
8,7,7,933,7,237,19,515,0
8,17,3,1317,13,205,268,607,0
10,22,7,1417,20,48,25,283,0
10,14,5,713,14,86,173,957,0
12,28,4,1926,8,19,61,554,0
9,4,7,1733,3,78,247,2329,0
3,17,5,1657,5,215,133,1009,1
3,4,6,1725,3,160,247,965,0
3,4,5,645,13,238,154,109,0
5,26,5,1636,18,205,25,783,0
1,2,7,1717,18,79,36,649,0
2,24,5,830,18,204,79,819,0
1,22,7,1954,7,19,116,306,1
6,10,6,1619,8,117,72,317,1
9,16,5,902,18,259,205,1726,0
6,26,7,1440,20,169,75,319,0
5,2,1,1142,7,19,117,153,0
10,6,4,1340,13,69,80,354,0
2,4,5,1050,20,152,199,407,0
6,1,4,1942,7,19,132,533,1
10,29,7,912,14,194,154,1536,0
9,11,1,2010,18,154,152,236,0
7,13,3,1335,5,152,133,1222,1
4,11,2,1851,16,79,177,872,0
5,18,3,1217,14,86,151,74,0
7,19,3,2105,17,175,80,797,0
8,26,6,1634,1,178,80,468,0
8,22,2,553,22,34,205,116,0
7,25,2,1407,9,194,79,680,0
6,24,6,626,13,238,253,417,0
4,27,4,2051,16,205,106,157,0
10,13,4,1132,1,178,80,468,0
10,1,6,1112,3,211,152,762,0
11,18,5,1423,16,154,253,308,0
10,28,5,1322,7,19,263,483,1
6,1,4,650,14,152,194,1300,0
4,26,3,1210,16,139,290,58,0
8,30,2,1243,13,205,183,67,0
9,22,4,1554,18,248,238,447,0
11,18,5,1955,13,113,190,134,0
8,5,5,1929,18,154,248,337,0
12,1,4,1913,20,253,204,333,0
11,13,1,1528,16,256,253,585,0
2,27,7,1827,16,79,89,563,0
4,18,1,1117,7,21,19,813,0
4,22,6,1438,15,171,173,1072,0
4,28,4,2037,3,247,154,954,0
6,6,2,1736,16,96,205,557,0
4,11,1,1127,12,152,79,629,0
12,3,6,1625,21,133,230,1043,0
7,19,2,1708,13,80,155,282,0
12,28,4,1753,20,126,145,359,1
6,11,7,1829,16,196,79,197,0
11,11,5,1509,14,86,146,814,0
10,8,6,1056,19,63,214,448,0
6,29,4,2052,21,78,93,199,0
6,16,4,1259,7,256,72,1449,0
5,22,1,834,7,19,210,545,0
9,10,6,1802,14,37,86,632,0
7,9,7,2059,4,147,255,1597,0
5,25,4,905,22,84,79,251,0
5,29,1,1132,19,230,214,336,0
7,9,6,815,6,132,57,441,0
11,3,4,1210,20,272,225,1137,0
9,5,2,835,1,63,80,936,0
6,17,6,1235,22,132,159,229,0
8,4,4,1204,14,204,194,1494,0
3,7,2,1545,8,186,19,448,0
9,2,5,1202,7,285,19,264,0
3,22,3,1412,18,133,79,861,0
4,27,4,1825,20,215,238,304,0
7,4,2,2042,19,152,211,762,0
5,24,2,1058,1,182,159,1097,1
7,31,1,1647,1,19,182,595,0
6,20,1,920,20,263,201,462,1
12,23,5,724,5,247,133,1874,0
5,17,3,1252,18,238,132,2253,0
9,26,1,2050,14,175,194,349,1
1,12,3,633,7,37,19,946,1
10,14,6,850,1,274,80,237,1
3,14,1,1140,15,72,8,542,0
1,8,7,1454,8,19,51,528,1
8,7,1,2037,1,80,211,1616,1
9,18,7,1622,16,241,256,615,0
2,10,5,930,22,226,132,494,0
5,17,2,615,20,233,253,188,0
7,7,4,1124,16,135,256,188,0
3,4,6,1127,14,173,86,957,0
4,11,2,2141,16,205,177,491,1
4,8,6,725,15,239,72,1024,1
10,7,6,2112,7,256,211,630,0
4,5,2,550,20,215,152,256,0
7,16,7,1806,7,19,214,665,0
3,27,7,1125,20,204,257,389,0
3,17,5,1815,14,215,194,1276,1
2,27,1,1915,4,101,147,1069,0
4,27,4,750,16,154,3,677,0
5,13,5,1329,7,19,146,270,0
12,23,5,1727,16,7,248,250,1
10,1,7,1337,4,147,210,1028,1
4,11,1,1618,7,19,154,1946,0
4,29,5,828,14,57,86,668,0
7,27,4,1323,20,214,173,861,1
2,23,3,657,7,263,19,483,0
11,26,6,1024,14,86,151,74,0
12,23,5,555,15,28,72,506,0
3,11,5,1747,18,195,205,837,0
5,4,4,1820,18,79,194,680,0
7,13,3,1229,8,19,194,906,0
2,20,1,1534,11,200,149,84,0
9,10,6,1729,15,147,263,892,0
11,16,3,1407,1,159,35,764,0
7,18,2,1856,18,79,233,804,1
4,13,4,926,13,159,230,431,0
9,28,4,1748,5,248,133,1635,0
6,17,5,1425,15,85,72,505,0
4,17,7,2029,21,61,35,448,0
3,10,5,802,16,256,135,188,0
6,2,5,1804,8,19,92,350,1
5,15,7,726,5,93,173,938,0
3,28,2,1656,18,205,219,412,1
6,2,4,1653,19,171,63,809,0
6,3,5,2017,7,187,19,302,1
2,2,4,710,20,48,173,787,0
6,24,5,1002,10,51,19,528,0
4,12,3,925,7,19,239,874,0
3,6,7,1712,14,194,152,1300,0
5,21,6,1604,13,238,253,417,0
8,6,7,1917,19,78,272,814,0
2,21,1,1259,7,259,256,588,0
5,6,6,1901,19,237,63,600,0
4,6,3,621,14,78,86,405,0
4,8,5,1046,13,162,80,304,0
1,17,1,645,8,98,19,331,0
9,18,7,1641,8,85,19,743,0
2,10,5,1453,16,79,89,563,0
4,7,4,1525,13,162,80,304,0
6,29,4,1606,21,251,133,192,1
2,1,3,1123,20,276,238,367,0
12,31,7,1503,20,79,152,629,0
11,21,2,1311,14,138,86,231,0
5,31,2,959,18,263,205,258,0
12,15,4,1456,13,154,238,109,0
8,10,3,2255,8,19,157,303,0
8,4,5,1445,2,125,142,216,0
11,15,2,705,6,50,132,401,0
12,3,7,1507,16,256,233,422,0
3,31,5,1311,21,214,61,363,0
12,3,7,1220,15,147,46,301,0
6,2,4,1710,20,256,36,291,0
3,12,6,2022,16,276,154,451,0
8,13,7,1808,1,173,80,984,1
7,2,6,1334,14,194,173,1310,0
9,5,1,2233,16,248,243,191,0
5,6,6,1401,20,199,211,543,1
9,23,6,1906,20,225,272,1137,0
5,20,6,1209,1,204,80,1189,0
2,27,7,1908,15,78,37,399,0
12,26,1,758,3,247,150,680,0
11,27,7,831,16,205,249,438,0
10,29,7,1715,14,235,86,296,0
4,7,5,630,21,57,133,925,0
7,10,7,652,21,69,133,201,0
8,22,1,638,16,179,256,575,0
12,5,1,1640,20,199,238,446,0
8,21,7,733,7,132,19,533,0
6,29,4,2055,1,80,35,631,0
7,19,2,1838,14,194,230,981,0
8,15,2,1700,8,284,19,208,1
2,5,7,2040,19,214,248,2521,1
12,25,1,809,20,214,126,1335,1
10,21,6,1313,8,175,19,590,0
12,19,1,1455,15,72,14,623,0
4,20,3,1725,14,272,86,983,0
6,14,2,1442,7,21,72,958,0
12,5,1,1229,18,79,159,1619,0
3,21,2,2125,20,75,274,237,0
8,29,1,1920,21,61,1,339,0
6,16,4,1120,20,199,259,371,1
11,22,3,709,20,89,21,528,0
9,21,4,1140,20,239,75,248,0
12,11,1,2352,18,205,248,1846,1
4,27,3,920,15,232,72,413,0
5,21,7,949,14,86,225,614,0
12,29,5,1500,14,86,272,983,1
1,19,4,2053,13,37,147,187,0
8,10,4,2115,13,80,15,313,1
10,4,3,1152,5,133,173,853,0
9,10,6,730,20,199,259,371,0
8,24,3,1649,12,48,215,1999,0
5,22,7,1456,13,80,162,304,0
12,19,1,727,21,201,93,1325,0
8,20,7,616,13,183,205,67,0
9,19,2,1228,19,272,219,873,0
10,6,5,754,3,247,16,1449,0
2,24,5,1010,19,215,138,1489,0
1,11,2,1055,15,249,72,491,1
8,30,2,1931,7,19,86,594,0
12,19,2,1647,16,281,205,475,0
2,10,5,1557,5,48,133,1235,0
8,28,7,1142,19,214,230,336,0
8,31,3,1625,1,205,247,1721,0
4,5,2,1459,16,61,79,1201,0
12,27,3,1110,15,72,234,282,0
1,19,4,1743,7,19,157,303,0
9,19,1,1430,15,272,157,704,0
9,30,5,1905,20,169,21,294,0
8,14,1,1603,3,154,247,954,0
10,27,5,2202,13,205,117,577,1
1,20,5,1927,19,63,235,573,0
7,4,2,1714,20,152,89,584,0
10,27,5,956,1,238,80,1171,0
6,2,4,654,7,263,19,483,0
8,2,3,1034,1,239,80,247,0
7,31,1,45,7,154,19,1946,1
7,17,7,1047,20,257,154,373,0
10,12,3,1724,18,79,257,910,1
3,10,5,727,1,206,80,1213,0
12,28,3,943,8,19,240,215,1
11,17,4,1900,8,72,271,181,1
2,22,3,600,20,211,199,543,0
5,3,3,1150,15,56,72,342,0
12,27,2,2224,20,253,204,333,1
12,22,4,1101,8,251,19,552,0
4,3,7,1644,18,248,200,2338,0
5,24,3,1208,18,253,79,948,1
11,7,2,1418,7,19,239,874,0
11,25,5,2022,3,16,247,1449,0
6,15,3,1500,1,80,86,987,0
8,1,2,1413,7,19,57,259,0
5,27,5,1102,7,74,19,366,0
4,4,2,1450,20,61,152,1825,0
3,14,1,810,18,87,79,121,0
3,5,6,1149,16,79,97,844,0
5,28,7,1514,21,93,171,1092,0
12,29,4,1941,1,237,205,1120,0
5,27,5,2045,21,61,192,402,0
9,7,3,1608,1,173,37,1121,0
8,27,6,2023,12,248,152,414,0
9,11,1,558,3,16,247,1449,0
2,20,1,1652,21,61,80,1021,0
4,20,3,2111,19,63,78,331,0
9,1,4,1827,16,256,99,532,0
1,17,1,1714,7,230,19,356,0
10,5,3,659,1,133,80,224,0
5,10,3,1003,18,205,199,1835,0
2,24,5,943,16,36,256,291,0
8,16,3,558,3,247,253,697,0
7,23,7,938,14,214,86,453,0
5,19,5,1451,16,238,256,626,0
12,8,5,724,19,132,215,1956,1
10,22,7,2326,4,147,64,483,1
4,15,5,1146,7,259,19,1919,0
8,23,3,1015,13,117,80,862,0
9,16,6,1741,13,281,205,475,0
5,20,5,1156,14,115,86,120,0
8,22,2,1114,21,93,230,416,0
8,28,1,1640,1,178,80,468,0
1,16,7,1953,19,214,219,267,0
7,14,4,643,12,154,215,370,0
12,21,3,655,21,171,93,1092,0
9,18,1,1738,1,37,80,1562,0
6,29,4,657,19,89,215,347,1
9,8,5,1916,21,133,115,1042,0
11,11,6,1036,1,80,47,1231,0
12,28,3,1907,7,256,247,689,0
3,20,7,1239,18,152,205,1515,0
9,21,4,1302,11,125,248,2398,0
10,10,1,2205,7,19,238,1891,1
10,24,1,1305,16,32,79,517,0
1,25,2,1803,21,145,133,351,0
9,23,6,1533,15,72,22,275,1
5,10,3,1031,13,238,253,417,0
1,7,5,1333,14,93,194,1008,0
10,15,7,1446,16,205,183,67,0
4,5,2,919,8,51,72,214,0
2,10,5,606,19,101,214,992,0
2,17,5,1637,19,146,78,634,0
7,19,3,701,18,116,205,590,0
8,31,3,1905,20,75,162,296,1
5,23,1,2055,15,86,72,229,1
1,27,4,855,19,219,210,952,0
9,9,6,1115,15,46,72,410,0
5,17,2,1702,4,272,147,1005,1
12,24,6,706,9,79,80,641,0
11,18,6,1426,14,193,194,1013,1
3,16,4,2027,19,219,214,267,0
3,22,2,1131,1,195,205,837,0
1,27,5,700,13,29,37,201,0
2,15,3,1145,14,35,177,200,0
5,20,6,1035,18,154,173,2217,0
8,16,2,809,16,256,233,422,0
5,12,5,1030,8,19,186,448,0
1,28,6,638,20,201,215,833,0
8,19,6,1450,21,138,61,261,0
11,24,4,1427,14,138,86,231,0
8,15,2,1615,20,214,25,196,0
11,2,3,1008,13,80,145,408,0
11,13,1,746,10,146,19,270,1
11,9,3,1807,1,80,89,551,0
7,27,4,1435,8,201,256,866,0
1,9,7,1119,16,135,256,188,0
12,14,3,659,1,154,101,2342,0
1,17,2,1246,19,259,215,338,0
1,25,2,626,13,201,205,693,0
2,8,3,547,16,54,7,56,0
2,8,3,1052,19,19,215,1587,0
4,15,6,1342,7,215,19,1587,0
2,27,7,745,10,79,19,1199,0
10,2,1,1640,7,79,19,1199,0
9,10,7,704,10,134,19,781,0
1,29,7,1432,21,133,89,667,0
4,22,5,1438,7,19,126,696,0
3,16,4,1135,14,173,194,1310,1
8,15,1,855,15,159,63,544,1
2,1,2,930,7,93,72,569,0
8,7,1,1431,5,197,93,550,0
1,24,2,604,7,78,19,547,0
5,9,1,715,20,61,263,487,0
2,17,4,538,7,175,19,590,0
6,6,2,1748,16,215,154,370,0
12,30,6,1704,19,146,63,329,0
3,22,2,1112,13,205,232,642,0
9,29,4,1220,8,19,51,528,0
3,18,5,1803,19,219,238,2106,0
4,9,7,706,18,199,132,2408,0
7,29,6,1820,22,215,202,1037,0
5,8,1,1002,22,79,67,72,0
5,19,5,1855,3,247,215,1107,0
3,19,6,2017,16,79,97,844,0
1,6,5,601,3,247,154,954,0
5,7,7,1356,18,36,79,649,1
5,11,3,1344,9,79,171,533,1
4,28,4,1825,21,14,61,424,0
4,27,4,1512,21,162,133,374,0
5,16,2,849,21,61,76,162,0
9,13,3,1959,5,182,93,1086,0
7,26,2,904,16,263,79,770,0
11,25,5,1257,21,133,157,828,0
6,5,7,1329,7,159,78,214,0
7,27,4,1156,2,161,125,102,0
4,22,6,556,7,173,19,403,0
8,5,6,1609,16,215,154,370,0
4,30,7,1726,9,79,154,862,1
12,12,1,1059,1,80,147,1391,0
10,5,3,634,9,233,79,804,0
3,20,1,630,22,243,215,509,0
6,14,2,1846,8,11,19,500,0
8,14,7,2213,7,37,19,946,1
2,23,4,1507,7,19,154,1946,1
7,28,4,1650,18,248,154,337,0
12,27,2,1909,8,111,19,300,0
10,31,1,1420,20,204,199,361,0
8,11,5,1128,7,263,72,307,0
1,25,2,1540,21,85,133,802,0
7,7,4,2108,15,230,173,534,1
3,14,2,1308,22,84,79,251,0
11,6,7,2059,1,80,239,247,0
10,19,4,611,16,276,248,751,0
12,23,6,719,14,133,86,1076,0
5,5,5,713,7,64,19,446,0
3,17,4,1851,18,248,80,1464,0
11,2,4,1411,16,154,238,109,0
4,11,2,710,20,173,171,1072,0
12,18,7,1552,5,173,61,895,0
4,9,7,2255,7,253,19,2116,0
1,3,1,2338,12,152,19,1747,1
8,2,2,909,14,86,113,288,0
8,29,1,1935,20,61,175,307,0
6,26,7,1335,14,177,194,700,0
7,16,6,1633,1,134,80,328,0
2,26,6,2030,1,182,86,1145,1
9,8,5,1705,20,152,253,386,1
2,11,5,2128,7,240,19,215,0
6,20,2,903,14,194,86,528,0
10,22,6,730,21,133,138,845,0
11,13,1,1625,5,215,133,1009,0
10,9,1,1544,19,159,219,335,0
10,16,7,1909,20,199,215,646,1
1,31,2,848,8,201,256,866,0
8,30,3,1829,20,126,69,187,0
11,18,6,1035,8,19,183,669,1
9,24,6,947,13,37,78,399,0
7,30,6,1228,7,78,159,214,0
7,25,1,1843,1,80,239,247,1
6,5,1,1908,21,93,232,278,0
4,5,3,830,7,72,247,1964,0
2,27,1,1846,22,132,37,413,0
5,10,2,1939,4,132,238,2253,0
4,15,6,1131,8,19,103,644,0
9,21,4,1948,13,253,238,417,0
3,8,3,1755,20,274,75,237,0
4,21,5,1209,18,248,247,679,1
7,14,5,1047,1,205,37,867,0
11,16,3,1237,10,19,146,270,0
12,3,6,1230,6,159,132,229,0
6,1,3,1305,10,37,51,549,0
9,4,1,1048,20,238,215,304,0
4,19,2,851,1,263,248,1736,0
5,29,1,1044,13,80,134,328,0
1,12,3,1405,20,253,152,386,0
12,23,5,1608,5,272,93,998,0
6,30,5,556,16,43,256,357,0
11,7,1,1546,5,133,79,861,0
9,17,6,1442,13,80,162,304,0
3,20,7,1238,7,72,171,539,0
7,18,1,843,18,154,200,2486,0
7,18,1,715,20,48,230,255,0
9,1,5,1505,21,133,155,458,1
10,25,2,1320,21,41,133,308,0
12,27,3,639,1,159,80,1389,0
8,27,7,1006,1,230,205,647,0
12,23,5,710,13,21,230,1162,1
7,27,4,645,5,194,133,1034,0
2,21,2,1352,7,239,19,874,1
6,5,7,1158,19,173,219,834,0
8,11,5,1433,18,132,79,1452,0
8,27,6,827,7,19,117,153,0
11,14,2,1409,14,194,173,1310,1
12,6,3,914,20,48,46,281,0
3,21,2,1459,21,93,206,284,0
3,30,3,924,18,205,37,867,0
12,3,6,1248,16,248,233,192,0
2,9,4,1536,1,255,101,1046,0
1,12,4,1622,7,237,37,1249,0
3,22,3,1244,1,154,93,2454,0
2,4,6,811,1,154,80,1235,0
8,16,2,1525,15,29,72,906,1
4,5,3,1524,18,247,248,679,0
3,8,2,1330,20,171,175,405,0
6,16,4,1658,14,86,219,201,0
9,25,7,1630,20,274,126,453,0
10,25,2,1429,7,19,270,223,0
12,15,5,1438,5,147,133,1417,1
2,7,1,1058,19,63,78,331,0
11,11,5,1754,5,86,133,1076,0
10,17,1,1341,5,93,205,719,0
10,21,5,1617,1,159,182,1097,0
8,18,4,558,14,80,86,987,0
2,8,3,1234,1,288,80,281,0
8,17,4,951,20,215,238,304,0
3,11,5,1052,7,175,19,590,0
12,26,1,1055,7,93,72,569,0
7,11,2,1532,13,205,202,416,1
5,15,7,830,20,126,239,192,0
7,2,7,1505,19,215,219,1813,0
8,9,2,1500,19,78,225,357,0
9,25,7,1855,13,154,238,109,0
9,23,5,1027,14,194,205,334,0
1,15,7,1050,11,161,125,102,0
4,25,1,1043,16,211,247,129,0
8,1,1,950,15,72,37,752,0
9,30,6,1751,20,152,79,629,0
7,6,4,1012,22,84,79,251,1
3,14,2,844,21,61,64,112,0
2,20,7,1212,20,215,89,347,0
5,24,3,1045,15,72,115,268,0
10,24,1,1034,1,171,80,460,1
2,12,6,1055,21,133,80,224,0
6,30,5,1543,14,194,35,695,1
3,31,4,1603,14,247,194,1399,0
11,22,3,2117,5,159,133,1416,1
7,11,1,853,7,183,19,669,1
5,29,7,735,16,68,256,320,0
10,2,1,751,20,238,257,480,0
4,26,2,1530,20,48,141,220,0
9,20,2,1634,21,93,288,1130,1
11,23,3,1520,6,132,70,227,0
9,28,4,819,7,256,152,368,0
12,12,1,1705,21,246,93,642,0
5,24,3,1224,14,247,177,1870,0
7,13,4,855,14,144,194,872,0
11,28,1,615,20,204,253,333,0
11,16,3,1241,4,160,147,2465,0
6,20,1,1055,1,80,204,1189,0
7,5,2,1434,1,37,248,2704,0
10,14,6,1620,5,133,147,1417,0
12,11,1,1520,16,205,177,491,1
6,1,4,1620,8,288,19,589,1
9,26,1,2050,1,173,159,950,1
12,18,7,1328,1,205,37,867,0
8,1,2,2003,20,152,21,1090,0
2,2,4,1610,8,22,19,164,0
7,14,5,1125,13,238,154,109,0
7,21,4,1454,16,154,199,337,0
8,6,6,1647,1,80,238,1171,0
12,20,3,1427,15,159,230,431,1
11,3,5,2300,3,247,107,224,0
6,19,1,1445,18,132,154,2288,0
4,8,5,2014,18,248,152,414,0
8,27,7,1030,13,177,205,491,0
5,28,6,1930,20,173,175,989,0
4,20,3,1520,5,80,133,224,0
10,22,7,1805,20,154,89,714,0
2,19,6,1449,7,19,76,432,0
2,6,7,1711,18,211,248,550,0
12,17,7,1335,18,152,132,2066,1
6,30,5,1301,1,248,205,1846,0
1,2,1,757,14,113,86,288,1
3,27,1,1153,19,159,37,185,0
7,7,4,727,7,173,37,1121,0
7,9,7,550,10,213,19,508,0
12,18,7,730,15,57,72,497,0
7,8,6,715,3,211,238,933,0
8,24,3,619,18,238,79,853,0
7,13,3,701,19,86,63,500,0
9,19,2,2228,18,154,37,2611,0
6,2,4,1300,6,132,127,247,0
7,1,6,604,17,159,175,725,0
8,17,4,1240,20,152,233,345,0
12,4,1,1504,15,72,274,646,1
8,10,4,918,8,112,19,352,1
3,28,1,1100,20,215,152,256,1
4,19,2,1953,14,177,285,369,0
9,6,2,1103,14,194,182,1501,1
3,8,2,1905,13,205,65,135,0
5,14,7,1233,13,29,37,201,1
4,23,6,1307,21,171,133,643,0
11,5,7,1653,2,200,125,100,0
12,17,6,1633,3,152,247,866,1
4,5,2,2256,1,80,201,175,1
12,15,4,1037,1,239,80,247,0
1,3,2,626,22,63,132,321,0
12,5,2,922,1,93,80,1372,0
9,24,6,1550,20,263,202,342,0
6,5,1,707,19,268,214,228,0
2,1,2,1822,21,132,61,288,0
11,27,7,1811,7,272,147,1005,0
4,25,1,2033,21,61,115,214,0
8,1,1,1301,20,257,247,605,0
3,3,4,813,7,145,19,341,0
8,3,3,1329,19,214,138,587,0
1,7,5,1333,5,133,182,964,0
7,23,6,1438,16,224,154,110,0
3,18,6,1655,21,93,72,569,1
4,4,1,755,16,205,163,466,0
2,2,4,1341,13,205,127,738,0
2,23,4,1306,1,173,255,1189,0
7,2,7,1722,20,272,215,1788,1
1,30,7,1121,18,79,132,1452,0
10,2,1,1828,20,253,154,308,0
3,10,4,606,7,79,256,391,0
1,25,2,1740,12,152,79,629,0
9,21,4,1221,21,93,138,644,0
9,21,3,2041,18,205,78,612,0
2,7,2,1422,8,19,94,646,0
4,13,3,1000,14,177,133,469,1
6,21,3,559,20,199,154,337,0
2,28,2,1808,10,19,219,526,1
7,6,3,1219,12,215,89,347,0
9,21,4,1356,20,238,215,304,1
11,19,7,1121,20,253,247,697,1
4,20,4,1845,13,86,205,235,0
10,5,3,1054,20,154,3,677,0
12,20,2,1525,20,225,272,1137,0
6,21,3,1011,18,248,132,2419,0
9,9,5,1427,8,19,134,781,0
1,19,4,702,20,181,48,377,0
1,5,4,1122,18,215,154,370,0
5,30,2,1534,8,19,274,674,0
8,20,7,2147,16,191,248,77,1
8,11,4,1801,1,133,205,925,1
8,24,4,1515,13,93,37,200,0
10,21,6,2148,19,63,25,644,0
4,26,3,1737,1,259,80,1205,0
8,19,5,825,20,75,169,319,0
9,13,3,1834,3,16,26,399,0
12,6,3,1833,7,35,19,214,0
1,12,4,1550,8,19,129,151,0
11,29,2,1559,16,256,215,507,0
11,9,4,1317,16,60,154,86,1
2,25,6,1530,15,48,37,370,1
4,2,6,1834,3,233,247,564,0
7,22,5,630,16,97,248,158,0
3,14,2,900,14,206,86,529,0
7,22,6,621,8,192,19,707,0
1,12,3,1023,3,247,36,399,0
2,2,4,1644,7,19,132,533,0
5,12,5,1937,18,214,205,678,1
6,17,6,1645,1,25,205,783,0
1,24,1,1815,20,171,152,1140,0
7,13,4,2152,18,132,199,2408,0
10,28,5,730,20,211,36,344,0
6,15,3,1330,15,72,206,485,0
1,4,3,1711,1,205,263,258,1
8,23,3,635,21,230,61,416,0
5,7,7,2134,1,80,19,732,1
3,3,4,1312,5,101,61,1062,0
7,31,7,956,9,215,79,602,0
2,28,2,1031,9,79,133,861,0
7,16,6,632,1,63,182,650,0
8,10,4,644,14,115,86,120,0
1,4,3,2155,19,215,79,602,0
2,22,2,1409,16,191,248,77,0
7,29,5,812,1,154,205,1745,0
8,18,4,943,1,80,239,247,0
5,8,1,602,8,50,72,404,0
9,8,4,1950,20,152,154,236,0
6,4,7,738,20,154,276,451,0
1,7,5,1712,18,248,132,2419,1
3,26,6,917,14,78,86,405,0
11,26,6,2152,18,205,154,1745,0
